gps_center,band_psd,n_avg
1256715968.0,1.873162e-46,63
1256716096.0,1.852663e-46,63
1256716224.0,1.849461e-46,63
1256716352.0,1.838441e-46,63
1256716480.0,1.855334e-46,63
1256716608.0,1.847430e-46,63
1256716736.0,1.849233e-46,63
1256716864.0,1.876441e-46,63
1256716992.0,1.875621e-46,63
1256717120.0,1.814542e-46,63
1256717248.0,1.862323e-46,63
1256717376.0,1.827574e-46,63
1256717504.0,1.855986e-46,63
1256717632.0,1.880607e-46,63
1256717760.0,1.906222e-46,63
1256717888.0,1.890532e-46,63
1256718016.0,1.884060e-46,63
1256718144.0,1.898452e-46,63
1256718272.0,1.973275e-46,63
1256718400.0,1.862767e-46,63
1256718528.0,1.895650e-46,63
1256718656.0,1.871265e-46,63
1256718784.0,1.895856e-46,63
1256718912.0,1.852169e-46,63
1256719040.0,1.902692e-46,63
1256719168.0,1.870082e-46,63
1256719296.0,1.862544e-46,63
1256719424.0,1.866864e-46,63
1256719552.0,1.857690e-46,63
1256719680.0,1.838942e-46,63
1256719808.0,1.868342e-46,63
1256719936.0,1.872277e-46,63
1256720064.0,1.877459e-46,63
1256720192.0,1.858943e-46,63
1256720320.0,1.849897e-46,63
1256720448.0,1.841731e-46,63
1256720576.0,1.838169e-46,63
1256720704.0,1.888004e-46,63
1256720832.0,1.882421e-46,63
1256720960.0,1.833760e-46,63
1256721088.0,1.844220e-46,63
1256721216.0,1.869466e-46,63
1256721344.0,1.852660e-46,63
1256721472.0,1.846270e-46,63
1256721600.0,1.855206e-46,63
1256721728.0,1.874871e-46,63
1256721856.0,1.898939e-46,63
1256721984.0,1.850648e-46,63
1256722112.0,1.892772e-46,63
1256722240.0,1.892378e-46,63
1256722368.0,1.861946e-46,63
1256722496.0,1.869259e-46,63
1256722624.0,1.883289e-46,63
1256722752.0,1.868663e-46,63
1256722880.0,1.864134e-46,63
1256723008.0,1.891744e-46,63
1256723136.0,1.891366e-46,63
1256723264.0,1.882610e-46,63
1256723392.0,1.873418e-46,63
1256723520.0,1.851779e-46,63
1256723648.0,1.885053e-46,63
1256723776.0,1.828282e-46,63
1256723904.0,1.903790e-46,63
1256724032.0,1.929285e-46,63
1256724160.0,1.914578e-46,63
1256724288.0,1.884320e-46,63
1256724416.0,1.923931e-46,63
1256724544.0,1.920226e-46,63
1256724672.0,1.977780e-46,63
1256724800.0,1.890897e-46,63
1256724928.0,1.851978e-46,63
1256725056.0,1.897942e-46,63
1256725184.0,1.890753e-46,63
1256725312.0,1.898155e-46,63
1256725440.0,1.905085e-46,63
1256725568.0,1.901694e-46,63
1256725696.0,1.924179e-46,63
1256725824.0,1.877090e-46,63
1256725952.0,1.895785e-46,63
1256726080.0,1.905328e-46,63
1256726208.0,1.905784e-46,63
1256726336.0,1.839320e-46,63
1256726464.0,1.884425e-46,63
1256726592.0,1.887856e-46,63
1256726720.0,1.938000e-46,63
1256726848.0,2.001919e-46,63
1256726976.0,1.937631e-46,63
1256727104.0,1.949801e-46,63
1256727232.0,1.960149e-46,63
1256727360.0,1.890666e-46,63
1256727488.0,1.904814e-46,63
1256727616.0,1.917208e-46,63
1256727744.0,1.887214e-46,63
1256727872.0,1.868493e-46,63
1256728000.0,1.928387e-46,63
1256728128.0,1.924589e-46,63
1256728256.0,1.895203e-46,63
1256728384.0,1.871730e-46,63
1256728512.0,1.929488e-46,63
1256728640.0,1.924431e-46,63
1256728768.0,1.927444e-46,63
1256728896.0,1.944538e-46,63
1256729024.0,1.880151e-46,63
1256729152.0,1.877406e-46,63
1256729280.0,1.897303e-46,63
1256729408.0,1.901291e-46,63
1256729536.0,1.886401e-46,63
1256729664.0,1.942056e-46,63
1256729792.0,1.930062e-46,63
1256729920.0,1.901348e-46,63
1256730048.0,1.889816e-46,63
1256730176.0,1.932501e-46,63
1256730304.0,1.932323e-46,63
1256730432.0,1.873144e-46,63
1256730560.0,1.884611e-46,63
1256730688.0,1.915751e-46,63
1256730816.0,1.898576e-46,63
1256730944.0,1.877404e-46,63
1256731072.0,1.907412e-46,63
1256731200.0,1.893621e-46,63
1256731328.0,1.909167e-46,63
1256731456.0,1.921130e-46,63
1256731584.0,1.873365e-46,63
1256731712.0,1.880654e-46,63
1256731840.0,1.866974e-46,63
1256731968.0,1.901851e-46,63
1256732096.0,1.852970e-46,63
1256732224.0,1.894236e-46,63
1256732352.0,1.895333e-46,63
1256732480.0,1.875243e-46,63
1256732608.0,1.911375e-46,63
1256732736.0,1.903595e-46,63
1256732864.0,1.865251e-46,63
1256732992.0,1.876781e-46,63
1256733120.0,1.909496e-46,63
1256733248.0,1.910653e-46,63
1256733376.0,1.921168e-46,63
1256733504.0,1.919369e-46,63
1256733632.0,1.922676e-46,63
1256733760.0,1.889347e-46,63
1256733888.0,1.912205e-46,63
1256734016.0,1.937036e-46,63
1256734144.0,1.876440e-46,63
1256734272.0,1.866129e-46,63
1256734400.0,1.893860e-46,63
1256734528.0,1.909422e-46,63
1256734656.0,1.869372e-46,63
1256734784.0,1.888376e-46,63
1256734912.0,1.861457e-46,63
1256735040.0,1.939350e-46,63
1256735168.0,1.875527e-46,63
1256735296.0,1.877180e-46,63
1256735424.0,1.877500e-46,63
1256735552.0,1.862918e-46,63
1256735680.0,1.898216e-46,63
1256735808.0,1.888356e-46,63
1256735936.0,1.875027e-46,63
1256736064.0,1.906790e-46,63
1256736192.0,1.929668e-46,63
1256736320.0,1.910833e-46,63
1256736448.0,1.929699e-46,63
1256736576.0,1.957261e-46,63
1256736704.0,1.922734e-46,63
1256736832.0,1.884869e-46,63
1256736960.0,1.941725e-46,63
1256737088.0,1.939088e-46,63
1256737216.0,1.965866e-46,63
1256737344.0,1.946638e-46,63
1256737472.0,2.427816e-46,63
1256737600.0,2.347057e-46,63
1256737728.0,2.407995e-46,63
1256737856.0,2.386229e-46,63
1256737984.0,2.324990e-46,63
1256738112.0,2.305758e-46,63
1256738240.0,2.388611e-46,63
1256738368.0,2.383985e-46,63
1256738496.0,2.356703e-46,63
1256738624.0,2.341891e-46,63
1256738752.0,2.344692e-46,63
1256738880.0,2.366111e-46,63
1256739008.0,2.424528e-46,63
1256739136.0,2.403130e-46,63
1256739264.0,2.327381e-46,63
1256739392.0,2.350643e-46,63
1256739520.0,2.362152e-46,63
1256739648.0,2.377240e-46,63
1256739776.0,2.345177e-46,63
1256739904.0,2.309101e-46,63
1256740032.0,2.362429e-46,63
1256740160.0,2.478233e-46,63
1256740288.0,2.493371e-46,63
1256740416.0,2.401415e-46,63
1256740544.0,2.416617e-46,63
1256740672.0,2.320699e-46,63
1256740800.0,2.346258e-46,63
1256740928.0,2.358647e-46,63
1256741056.0,2.324914e-46,63
1256741184.0,2.309040e-46,63
1256741312.0,2.415567e-46,63
1256741440.0,2.353282e-46,63
1256741568.0,2.281327e-46,63
1256741696.0,2.405289e-46,63
1256741824.0,2.359415e-46,63
1256741952.0,2.359555e-46,63
1256742080.0,2.306416e-46,63
1256742208.0,2.323151e-46,63
1256742336.0,2.481138e-46,63
1256742464.0,2.475584e-46,63
1256742592.0,2.498195e-46,63
1256742720.0,2.393909e-46,63
1256742848.0,2.340138e-46,63
1256742976.0,2.351518e-46,63
1256743104.0,2.490410e-46,63
1256743232.0,2.552131e-46,63
1256743360.0,2.409953e-46,63
1256743488.0,2.347068e-46,63
1256743616.0,2.452697e-46,63
1256743744.0,2.399556e-46,63
1256743872.0,2.395104e-46,63
1256744000.0,2.385161e-46,63
1256744128.0,2.351677e-46,63
1256744256.0,2.409527e-46,63
1256744384.0,2.376865e-46,63
1256744512.0,2.346505e-46,63
1256744640.0,2.393762e-46,63
1256744768.0,2.350251e-46,63
1256744896.0,2.364655e-46,63
1256745024.0,2.345130e-46,63
1256745152.0,2.416116e-46,63
1256745280.0,2.351740e-46,63
1256745408.0,2.415620e-46,63
1256745536.0,2.412040e-46,63
1256745664.0,2.405530e-46,63
1256745792.0,2.398186e-46,63
1256745920.0,2.433914e-46,63
1256746048.0,2.373146e-46,63
1256746176.0,2.433900e-46,63
1256746304.0,2.469188e-46,63
1256746432.0,2.450208e-46,63
1256746560.0,2.446005e-46,63
1256746688.0,2.472942e-46,63
1256747072.0,2.469679e-46,63
